iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,2404.000000,2517.027073,113.027073,1590.989629,472.037444,454.000000,77.425942
1,2517.027073,2601.492660,84.465587,1649.433374,498.059285,454.000000,81.694174
2,2601.492660,2665.845420,64.352760,1693.708067,518.137353,454.000000,84.987479
3,2665.845420,2715.580616,49.735197,1727.783610,533.797006,454.000000,87.556054
4,2715.580616,2754.436492,38.855875,1754.322162,546.114329,454.000000,89.576403
5,2754.436492,2785.046165,30.609673,1775.178641,555.867524,454.000000,91.176171
6,2785.046165,2809.316070,24.269905,1791.684805,563.631265,454.000000,92.449618
7,2809.316070,2828.657186,19.341116,1804.819811,569.837375,454.000000,93.467575
8,2828.657186,2844.132441,15.475255,1815.317416,574.815025,454.000000,94.284035
9,2844.132441,2856.554113,12.421672,1823.735989,578.818124,454.000000,94.940643
10,2856.554113,2866.550183,9.996070,1830.505754,582.044429,454.000000,95.469837
11,2866.550183,2874.610757,8.060573,1835.961558,584.649199,454.000000,95.897085
12,2874.610757,2881.121279,6.510523,1840.366160,586.755119,454.000000,96.242508
13,2881.121279,2886.386790,5.265511,1843.927134,588.459656,454.000000,96.522095
14,2886.386790,2890.649924,4.263134,1846.809347,589.840577,454.000000,96.748601
15,2890.649924,2894.104481,3.454557,1849.144329,590.960152,454.000000,96.932239
16,2894.104481,2896.905778,2.801297,1851.037390,591.868388,454.000000,97.081212
17,2896.905778,2899.178633,2.272855,1852.573095,592.605538,454.000000,97.202123
18,2899.178633,2901.023579,1.844946,1853.819512,593.204067,454.000000,97.300297
19,2901.023579,2902.521734,1.498156,1854.831537,593.690198,454.000000,97.380035
20,2902.521734,2903.738653,1.216919,1855.653512,594.085141,454.000000,97.444815
21,2903.738653,2904.727371,0.988718,1856.321302,594.406070,454.000000,97.497456
22,2904.727371,2905.530842,0.803471,1856.863943,594.666899,454.000000,97.540238
23,2905.530842,2906.183880,0.653037,1857.304966,594.878914,454.000000,97.575014
24,2906.183880,2906.714719,0.530839,1857.663450,595.051269,454.000000,97.603284
25,2906.714719,2907.146272,0.431553,1857.954876,595.191396,454.000000,97.626269
26,2907.146272,2907.497139,0.350868,1858.191809,595.305330,454.000000,97.644957
27,2907.497139,2907.782427,0.285288,1858.384454,595.397973,454.000000,97.660153
28,2907.782427,2908.014405,0.231978,1858.541098,595.473307,454.000000,97.672509
29,2908.014405,2908.203044,0.188639,1858.668476,595.534568,454.000000,97.682558
30,2908.203044,2908.356447,0.153403,1858.772060,595.584388,454.000000,97.690729
31,2908.356447,2908.481200,0.124752,1858.856296,595.624903,454.000000,97.697375
32,2908.481200,2908.582655,0.101455,1858.924802,595.657853,454.000000,97.702779
33,2908.582655,2908.665165,0.082510,1858.980515,595.684650,454.000000,97.707175
34,2908.665165,2908.732269,0.067104,1859.025825,595.706444,454.000000,97.710750
35,2908.732269,2908.786845,0.054576,1859.062675,595.724170,454.000000,97.713657
36,2908.786845,2908.831231,0.044386,1859.092646,595.738586,454.000000,97.716022
37,2908.831231,2908.867331,0.036100,1859.117021,595.750310,454.000000,97.717945
38,2908.867331,2908.896692,0.029361,1859.136846,595.759846,454.000000,97.719509
39,2908.896692,2908.920572,0.023880,1859.152969,595.767602,454.000000,97.720781
40,2908.920572,2908.939993,0.019422,1859.166083,595.773910,454.000000,97.721816
41,2908.939993,2908.955790,0.015796,1859.176749,595.779041,454.000000,97.722657
42,2908.955790,2908.968637,0.012848,1859.185424,595.783213,454.000000,97.723342
43,2908.968637,2908.979087,0.010449,1859.192480,595.786607,454.000000,97.723898
44,2908.979087,2908.987586,0.008499,1859.198218,595.789368,454.000000,97.724351
45,2908.987586,2908.994498,0.006912,1859.202885,595.791613,454.000000,97.724719
46,2908.994498,2909.000120,0.005622,1859.206682,595.793439,454.000000,97.725019
47,2909.000120,2909.004693,0.004573,1859.209769,595.794924,454.000000,97.725262
48,2909.004693,2909.008412,0.003719,1859.212280,595.796132,454.000000,97.725461
49,2909.008412,2909.011437,0.003025,1859.214323,595.797114,454.000000,97.725622
50,2909.011437,2909.013897,0.002460,1859.215984,595.797914,454.000000,97.725753
51,2909.013897,2909.015898,0.002001,1859.217335,595.798563,454.000000,97.725859
52,2909.015898,2909.017526,0.001628,1859.218434,595.799092,454.000000,97.725946
53,2909.017526,2909.018850,0.001324,1859.219328,595.799522,454.000000,97.726017
54,2909.018850,2909.019926,0.001077,1859.220055,595.799872,454.000000,97.726074
55,2909.019926,2909.020802,0.000876,1859.220646,595.800156,454.000000,97.726121
