iteration,mtow_guess_kg,new_mtow_kg,delta_kg,empty_mass_kg,battery_mass_kg,payload_mass_kg,total_energy_converged_kw_hr
0,3350.000000,2896.037825,-453.962175,2003.143456,438.894369,454.000000,71.989649
1,2896.037825,2642.300083,-253.737742,1803.623594,384.676490,454.000000,63.096561
2,2642.300083,2505.990865,-136.309218,1695.355384,356.635481,454.000000,58.497135
3,2505.990865,2434.372813,-71.618052,1638.128753,342.244060,454.000000,56.136582
4,2434.372813,2397.189152,-37.183662,1608.317777,334.871374,454.000000,54.927277
5,2397.189152,2378.003624,-19.185527,1592.908783,331.094842,454.000000,54.307831
6,2378.003624,2368.136472,-9.867152,1584.976468,329.160004,454.000000,53.990470
7,2368.136472,2363.070223,-5.066249,1580.901669,328.168554,454.000000,53.827847
8,2363.070223,2360.471205,-2.599019,1578.810746,327.660459,454.000000,53.744507
9,2360.471205,2359.138477,-1.332728,1577.738422,327.400056,454.000000,53.701794
10,2359.138477,2358.455234,-0.683244,1577.188641,327.266592,454.000000,53.679903
11,2358.455234,2358.104999,-0.350235,1576.906811,327.198188,454.000000,53.668683
12,2358.104999,2357.925477,-0.179522,1576.762349,327.163128,454.000000,53.662932
13,2357.925477,2357.833461,-0.092016,1576.688303,327.145158,454.000000,53.659985
14,2357.833461,2357.786298,-0.047163,1576.650350,327.135948,454.000000,53.658474
15,2357.786298,2357.762125,-0.024173,1576.630897,327.131227,454.000000,53.657700
16,2357.762125,2357.749735,-0.012390,1576.620927,327.128808,454.000000,53.657303
17,2357.749735,2357.743384,-0.006350,1576.615817,327.127568,454.000000,53.657099
18,2357.743384,2357.740129,-0.003255,1576.613197,327.126932,454.000000,53.656995
19,2357.740129,2357.738461,-0.001668,1576.611855,327.126606,454.000000,53.656942
20,2357.738461,2357.737606,-0.000855,1576.611167,327.126439,454.000000,53.656914
