n_abu_pool,candidate_name,timeline_type,abu_index,flight_index,t_hr,event
1.000000,after_accel_climb,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,after_accel_climb,aircraft,,1.000000,0.343611,aircraft_arrive
1.000000,after_accel_climb,aircraft,,1.000000,0.626911,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,1.000000,1.720456,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,2.000000,1.720456,aircraft_depart
1.000000,after_accel_climb,aircraft,,2.000000,2.064067,aircraft_arrive
1.000000,after_accel_climb,aircraft,,2.000000,2.347367,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,2.000000,3.440912,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,3.000000,3.440912,aircraft_depart
1.000000,after_accel_climb,aircraft,,3.000000,3.784523,aircraft_arrive
1.000000,after_accel_climb,aircraft,,3.000000,4.067823,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,3.000000,5.161368,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,4.000000,5.161368,aircraft_depart
1.000000,after_accel_climb,aircraft,,4.000000,5.504979,aircraft_arrive
1.000000,after_accel_climb,aircraft,,4.000000,5.788279,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,4.000000,6.881824,aircraft_charge_done
1.000000,after_accel_climb,aircraft,,5.000000,6.881824,aircraft_depart
1.000000,after_accel_climb,aircraft,,5.000000,7.225435,aircraft_arrive
1.000000,after_accel_climb,aircraft,,5.000000,7.508735,aircraft_ground_ops_done
1.000000,after_accel_climb,aircraft,,5.000000,8.602280,aircraft_charge_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.000000,abu_attach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.039167,abu_detach
1.000000,after_accel_climb,abu,1.000000,1.000000,0.114546,abu_return_done
1.000000,after_accel_climb,abu,1.000000,1.000000,0.114546,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,1.000000,0.390210,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,2.000000,1.720456,abu_attach
1.000000,after_accel_climb,abu,1.000000,2.000000,1.759623,abu_detach
1.000000,after_accel_climb,abu,1.000000,2.000000,1.835002,abu_return_done
1.000000,after_accel_climb,abu,1.000000,2.000000,1.835002,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,2.000000,2.110666,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,3.000000,3.440912,abu_attach
1.000000,after_accel_climb,abu,1.000000,3.000000,3.480079,abu_detach
1.000000,after_accel_climb,abu,1.000000,3.000000,3.555458,abu_return_done
1.000000,after_accel_climb,abu,1.000000,3.000000,3.555458,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,3.000000,3.831122,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,4.000000,5.161368,abu_attach
1.000000,after_accel_climb,abu,1.000000,4.000000,5.200535,abu_detach
1.000000,after_accel_climb,abu,1.000000,4.000000,5.275914,abu_return_done
1.000000,after_accel_climb,abu,1.000000,4.000000,5.275914,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,4.000000,5.551578,abu_charge_done
1.000000,after_accel_climb,abu,1.000000,5.000000,6.881824,abu_attach
1.000000,after_accel_climb,abu,1.000000,5.000000,6.920991,abu_detach
1.000000,after_accel_climb,abu,1.000000,5.000000,6.996370,abu_return_done
1.000000,after_accel_climb,abu,1.000000,5.000000,6.996370,abu_charge_start
1.000000,after_accel_climb,abu,1.000000,5.000000,7.272034,abu_charge_done
