n_takeoff_abu_pool,n_cruise_abu_pool,E_abu_mission_cruise_per_abu_kwh,timeline_type,abu_index,flight_index,t_hr,event
1.000000,1.000000,5.000000,aircraft,,1.000000,0.000000,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,1.000000,0.333333,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,1.000000,0.616633,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,1.000000,1.666099,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,2.000000,1.666099,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,2.000000,1.999432,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,2.000000,2.282732,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,2.000000,3.332197,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,3.000000,3.332197,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,3.000000,3.665531,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,3.000000,3.948831,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,3.000000,4.998296,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,4.000000,4.998296,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,4.000000,5.331629,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,4.000000,5.614929,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,4.000000,6.664395,aircraft_charge_done
1.000000,1.000000,5.000000,aircraft,,5.000000,6.664395,aircraft_depart
1.000000,1.000000,5.000000,aircraft,,5.000000,6.997728,aircraft_arrive
1.000000,1.000000,5.000000,aircraft,,5.000000,7.281028,aircraft_ground_ops_done
1.000000,1.000000,5.000000,aircraft,,5.000000,8.330493,aircraft_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.000000,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.039167,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.114546,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.114546,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,1.000000,0.390210,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.666099,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.705265,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.780645,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,1.780645,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,2.000000,2.056308,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,3.332197,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,3.371364,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,3.446744,takeoff_abu_return_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,3.446744,takeoff_abu_charge_start
1.000000,1.000000,5.000000,takeoff_abu,1.000000,3.000000,3.722407,takeoff_abu_charge_done
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,4.998296,takeoff_abu_attached
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,5.037463,takeoff_abu_detach
1.000000,1.000000,5.000000,takeoff_abu,1.000000,4.000000,5.112842,takeoff_abu_return_done
