n_abus,E_abu_mission_kwh,E_abu_total_kwh,m_abu_batt_kg,m_abu_struct_kg,m_abu_integ_kg,m_rot_hub_kg,m_abu_total_all_kg,E_cruise_attach_kwh,E_abu_used_kwh,baseline_cruise_energy_kwh,E_saved_kwh,extra_time_s,extra_range_mi
1.000000,5.000000,17.000000,103.642737,20.728547,5.182137,22.113238,151.666660,108.815661,5.000000,104.813864,0.998202,12.171126,0.507463
1.000000,10.000000,22.000000,134.125895,26.825179,6.706295,22.890885,190.548255,109.861208,10.000000,104.813864,4.952656,60.387944,2.517815
1.000000,15.000000,27.000000,164.609053,32.921811,8.230453,23.089045,228.850362,110.899008,15.000000,104.813864,8.914855,108.699221,4.532105
1.000000,20.000000,32.000000,195.092212,39.018442,9.754611,23.283785,267.149050,111.944492,20.000000,104.813864,12.869372,156.916814,6.542489
1.000000,25.000000,37.000000,225.575370,45.115074,11.278768,23.478052,305.447264,112.997738,25.000000,104.813864,16.816126,205.039759,8.548927
1.000000,30.000000,42.000000,256.058528,51.211706,12.802926,23.671865,343.745025,114.058746,30.000000,104.813864,20.755118,253.068052,10.551418
1.000000,35.000000,47.000000,286.541686,57.308337,14.327084,23.865232,382.042339,115.127518,35.000000,104.813864,24.686346,301.001694,12.549963
1.000000,40.000000,52.000000,317.024844,63.404969,15.851242,24.058157,420.339211,116.204051,40.000000,104.813864,28.609812,348.840687,14.544562
1.000000,45.000000,57.000000,347.508002,69.501600,17.375400,24.250646,458.635648,117.288348,45.000000,104.813864,32.525516,396.585031,16.535214
1.000000,50.000000,62.000000,377.991160,75.598232,18.899558,24.442705,496.931655,118.380407,50.000000,104.813864,36.433457,444.234729,18.521920
