Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
fuselage,34.728808,32.556738,11.287640,11.287640
wing,52.881182,44.785428,5.735706,5.188394
htail,18.089306,17.847257,0.901641,0.901641
vtail,7.399240,6.926133,0.364585,0.364513
boom_R0,7.239657,6.696159,0.697348,0.688919
boom_R1,7.239657,6.207121,0.697348,0.638605
boom_R2,7.239657,5.639434,0.697348,0.580200
boom_L0,7.239657,6.696159,0.697348,0.688919
boom_L1,7.239657,6.207121,0.697348,0.638605
boom_L2,7.239657,5.639434,0.697348,0.580200
Totals,156.536480,139.200982,22.473662,21.557643

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
fuselage_S_Surf0,34.728808,32.556738
wing_S_Surf0,26.440591,22.392714
wing_S_Surf1,26.440591,22.392714
htail_S_Surf0,9.044653,8.923628
htail_S_Surf1,9.044653,8.923628
vtail_S_Surf0,7.399240,6.926133
boom_R0_S_Surf0,7.239657,6.696159
boom_R1_S_Surf0,7.239657,6.207121
boom_R2_S_Surf0,7.239657,5.639434
boom_L0_S_Surf0,7.239657,6.696159
boom_L1_S_Surf0,7.239657,6.207121
boom_L2_S_Surf0,7.239657,5.639434
