Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
fuselage,34.728808,33.493200,11.287640,11.287640
wing,44.801179,38.988603,3.325135,3.032506
htail,10.486830,10.259095,0.397985,0.397985
vtail,7.827149,7.470026,0.396664,0.396664
boom_R0,7.297332,7.061909,0.702933,0.702933
boom_R1,7.297332,6.757666,0.702933,0.682167
boom_R2,7.297332,6.400621,0.702933,0.646125
boom_L0,7.297332,7.061909,0.702933,0.702933
boom_L1,7.297332,6.757666,0.702933,0.682167
boom_L2,7.297332,6.400621,0.702933,0.646125
Totals,141.627961,130.651317,19.625024,19.177292

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
fuselage_S_Surf0,34.728808,33.493200
wing_S_Surf0,22.400589,19.494302
wing_S_Surf1,22.400589,19.494302
htail_S_Surf0,5.243415,5.129547
htail_S_Surf1,5.243415,5.129547
vtail_S_Surf0,7.827149,7.470026
boom_R0_S_Surf0,7.297332,7.061909
boom_R1_S_Surf0,7.297332,6.757666
boom_R2_S_Surf0,7.297332,6.400621
boom_L0_S_Surf0,7.297332,7.061909
boom_L1_S_Surf0,7.297332,6.757666
boom_L2_S_Surf0,7.297332,6.400621
